trial,preprocess,pca_dim,model,noise_sigma,test_accuracy,cv_mean_accuracy,cv_std_accuracy,best_params_json,feature_dim_after_transform,prediction_file
0,minmax,,linear_svm,0.2,0.8795,0.8875,0.01378404875209023,"{""C"": 0.01}",784,prediction_artifacts/trial0__minmax__pcaNone__linear_svm.npz
0,minmax,,linear_svm,0.3,0.844,0.8875,0.01378404875209023,"{""C"": 0.01}",784,prediction_artifacts/trial0__minmax__pcaNone__linear_svm.npz
0,minmax,,linear_svm,0.4,0.7575,0.8875,0.01378404875209023,"{""C"": 0.01}",784,prediction_artifacts/trial0__minmax__pcaNone__linear_svm.npz
0,minmax,,knn,0.0,0.9255,0.9164999999999999,0.011895377253370336,"{""n_neighbors"": 3, ""weights"": ""distance""}",784,prediction_artifacts/trial0__minmax__pcaNone__knn.npz
0,minmax,,knn,0.1,0.9195,0.9164999999999999,0.011895377253370336,"{""n_neighbors"": 3, ""weights"": ""distance""}",784,prediction_artifacts/trial0__minmax__pcaNone__knn.npz
0,minmax,,knn,0.2,0.921,0.9164999999999999,0.011895377253370336,"{""n_neighbors"": 3, ""weights"": ""distance""}",784,prediction_artifacts/trial0__minmax__pcaNone__knn.npz
0,minmax,,knn,0.3,0.904,0.9164999999999999,0.011895377253370336,"{""n_neighbors"": 3, ""weights"": ""distance""}",784,prediction_artifacts/trial0__minmax__pcaNone__knn.npz
0,minmax,,knn,0.4,0.9015,0.9164999999999999,0.011895377253370336,"{""n_neighbors"": 3, ""weights"": ""distance""}",784,prediction_artifacts/trial0__minmax__pcaNone__knn.npz
0,pca,16.0,logistic,0.0,0.85,0.845,0.010954451150103317,"{""C"": 0.1}",16,prediction_artifacts/trial0__pca__pca16__logistic.npz
0,pca,16.0,logistic,0.1,0.8515,0.845,0.010954451150103317,"{""C"": 0.1}",16,prediction_artifacts/trial0__pca__pca16__logistic.npz
0,pca,16.0,logistic,0.2,0.8375,0.845,0.010954451150103317,"{""C"": 0.1}",16,prediction_artifacts/trial0__pca__pca16__logistic.npz
