trial,preprocess,pca_dim,model,params_json,mean_cv_accuracy,std_cv_accuracy,cv_folds_used
0,pca,16.0,linear_svm,"{""C"": 0.01}",0.8004999999999999,0.009924716620639616,5
0,pca,16.0,linear_svm,"{""C"": 0.1}",0.8195,0.013453624047073698,5
0,pca,16.0,linear_svm,"{""C"": 1.0}",0.8219999999999998,0.012083045973594551,5
0,pca,16.0,linear_svm,"{""C"": 10.0}",0.8234999999999999,0.0115758369027902,5
0,pca,16.0,linear_svm,"{""C"": 100.0}",0.8229999999999998,0.011768602295939791,5
0,pca,16.0,knn,"{""n_neighbors"": 1, ""weights"": ""uniform""}",0.9055,0.008860022573334701,5
0,pca,16.0,knn,"{""n_neighbors"": 1, ""weights"": ""distance""}",0.9055,0.008860022573334701,5
0,pca,16.0,knn,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.9045,0.009924716620639597,5
0,pca,16.0,knn,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9079999999999998,0.010653637876331248,5
0,pca,16.0,knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.9095000000000001,0.01749285568453591,5
0,pca,16.0,knn,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.9135,0.014628738838327807,5
0,pca,16.0,knn,"{""n_neighbors"": 7, ""weights"": ""uniform""}",0.9045,0.016911534525287777,5
0,pca,16.0,knn,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.907,0.01860107523773829,5
0,pca,16.0,knn,"{""n_neighbors"": 11, ""weights"": ""uniform""}",0.897,0.01826198236774969,5
0,pca,16.0,knn,"{""n_neighbors"": 11, ""weights"": ""distance""}",0.9024999999999999,0.017029386365926415,5
0,pca,32.0,logistic,"{""C"": 0.01}",0.8625,0.012247448713915865,5
0,pca,32.0,logistic,"{""C"": 0.1}",0.8835000000000001,0.01270826502713883,5
0,pca,32.0,logistic,"{""C"": 1.0}",0.8829999999999998,0.016613247725836142,5
0,pca,32.0,logistic,"{""C"": 10.0}",0.8779999999999999,0.012589678312014152,5
0,pca,32.0,logistic,"{""C"": 100.0}",0.8779999999999999,0.013266499161421584,5
0,pca,32.0,linear_svm,"{""C"": 0.01}",0.8675,0.014832396974191295,5
0,pca,32.0,linear_svm,"{""C"": 0.1}",0.8795,0.0036742346141747312,5
0,pca,32.0,linear_svm,"{""C"": 1.0}",0.8785000000000001,0.004636809247747835,5
0,pca,32.0,linear_svm,"{""C"": 10.0}",0.876,0.011575836902790192,5
0,pca,32.0,linear_svm,"{""C"": 100.0}",0.8744999999999999,0.011445523142259596,5
0,pca,32.0,knn,"{""n_neighbors"": 1, ""weights"": ""uniform""}",0.924,0.012509996003196812,5
0,pca,32.0,knn,"{""n_neighbors"": 1, ""weights"": ""distance""}",0.924,0.012509996003196812,5
0,pca,32.0,knn,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.925,0.013038404810405288,5
0,pca,32.0,knn,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9279999999999999,0.011113055385446456,5
0,pca,32.0,knn,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.923,0.017564168070250286,5
0,pca,32.0,knn,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.9265000000000001,0.016777961735562525,5
0,pca,32.0,knn,"{""n_neighbors"": 7, ""weights"": ""uniform""}",0.9199999999999999,0.01802775637731995,5
0,pca,32.0,knn,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.9235,0.018207141456033114,5
0,pca,32.0,knn,"{""n_neighbors"": 11, ""weights"": ""uniform""}",0.916,0.017219175357722563,5
0,pca,32.0,knn,"{""n_neighbors"": 11, ""weights"": ""distance""}",0.9185000000000001,0.013564659966250515,5
0,pca,64.0,logistic,"{""C"": 0.01}",0.8724999999999999,0.016355427233796117,5
0,pca,64.0,logistic,"{""C"": 0.1}",0.8885,0.01260952021291849,5
0,pca,64.0,logistic,"{""C"": 1.0}",0.881,0.012308533625091172,5
0,pca,64.0,logistic,"{""C"": 10.0}",0.873,0.010770329614268971,5
0,pca,64.0,logistic,"{""C"": 100.0}",0.874,0.011022703842524302,5
0,pca,64.0,linear_svm,"{""C"": 0.01}",0.876,0.01991230775173987,5
