config_key,preprocess,model,pca_dim,noise_sigma,mean_test_accuracy,std_test_accuracy,clean_mean_accuracy,robustness_drop
pca|linear_svm|16,pca,linear_svm,16.0,0.1,0.8282499999999999,0.007424621202458756,0.8274999999999999,-0.0007500000000000284
pca|linear_svm|16,pca,linear_svm,16.0,0.2,0.79775,0.01661700935788388,0.8274999999999999,0.029749999999999943
pca|linear_svm|16,pca,linear_svm,16.0,0.3,0.74325,0.03641599923110723,0.8274999999999999,0.08424999999999994
pca|linear_svm|16,pca,linear_svm,16.0,0.4,0.688,0.0014142135623729786,0.8274999999999999,0.13949999999999996
pca|linear_svm|256,pca,linear_svm,256.0,0.0,0.87575,0.0031819805153394274,0.87575,0.0
pca|linear_svm|256,pca,linear_svm,256.0,0.1,0.8752500000000001,0.008131727983645304,0.87575,0.0004999999999999449
pca|linear_svm|256,pca,linear_svm,256.0,0.2,0.87025,0.005303300858899033,0.87575,0.00550000000000006
pca|linear_svm|256,pca,linear_svm,256.0,0.3,0.8440000000000001,0.0007071067811865089,0.87575,0.031749999999999945
pca|linear_svm|256,pca,linear_svm,256.0,0.4,0.78575,0.014495689014324315,0.87575,0.09000000000000008
pca|linear_svm|32,pca,linear_svm,32.0,0.0,0.86875,0.001767766952966331,0.86875,0.0
pca|linear_svm|32,pca,linear_svm,32.0,0.1,0.8692500000000001,0.003889087296526015,0.86875,-0.000500000000000056
pca|linear_svm|32,pca,linear_svm,32.0,0.2,0.85825,0.0010606601717798223,0.86875,0.010500000000000065
pca|linear_svm|32,pca,linear_svm,32.0,0.3,0.825,0.007071067811865481,0.86875,0.04375000000000007
pca|linear_svm|32,pca,linear_svm,32.0,0.4,0.77075,0.016617009357883804,0.86875,0.09799999999999998
pca|linear_svm|512,pca,linear_svm,512.0,0.0,0.87575,0.0031819805153394274,0.87575,0.0
pca|linear_svm|512,pca,linear_svm,512.0,0.1,0.8765000000000001,0.007071067811865442,0.87575,-0.0007500000000000284
pca|linear_svm|512,pca,linear_svm,512.0,0.2,0.8652500000000001,0.006010407640085738,0.87575,0.010499999999999954
pca|linear_svm|512,pca,linear_svm,512.0,0.3,0.84,0.0028284271247461927,0.87575,0.03575000000000006
pca|linear_svm|512,pca,linear_svm,512.0,0.4,0.7717499999999999,0.010960155108391496,0.87575,0.10400000000000009
pca|linear_svm|64,pca,linear_svm,64.0,0.0,0.881,0.007071067811865481,0.881,0.0
pca|linear_svm|64,pca,linear_svm,64.0,0.1,0.87575,0.008838834764831813,0.881,0.005249999999999977
pca|linear_svm|64,pca,linear_svm,64.0,0.2,0.8595,0.007071067811865481,0.881,0.021499999999999964
pca|linear_svm|64,pca,linear_svm,64.0,0.3,0.825,0.012727922061357866,0.881,0.05600000000000005
pca|linear_svm|64,pca,linear_svm,64.0,0.4,0.74725,0.018738329701443488,0.881,0.13375000000000004
pca|logistic|128,pca,logistic,128.0,0.0,0.88725,0.00530330085889915,0.88725,0.0
pca|logistic|128,pca,logistic,128.0,0.1,0.88575,0.008131727983645304,0.88725,0.0014999999999999458
pca|logistic|128,pca,logistic,128.0,0.2,0.8795,0.0028284271247461927,0.88725,0.007750000000000035
pca|logistic|128,pca,logistic,128.0,0.3,0.8545,0.009192388155425165,0.88725,0.032749999999999946
pca|logistic|128,pca,logistic,128.0,0.4,0.7889999999999999,0.002121320343559605,0.88725,0.09825000000000006
pca|logistic|16,pca,logistic,16.0,0.0,0.84125,0.012374368670764592,0.84125,0.0
pca|logistic|16,pca,logistic,16.0,0.1,0.843,0.01202081528017128,0.84125,-0.0017499999999999183
pca|logistic|16,pca,logistic,16.0,0.2,0.8342499999999999,0.0045961940777125634,0.84125,0.007000000000000117
pca|logistic|16,pca,logistic,16.0,0.3,0.8007500000000001,0.010253048327205026,0.84125,0.04049999999999998
pca|logistic|16,pca,logistic,16.0,0.4,0.74175,0.007424621202458717,0.84125,0.09950000000000003
pca|logistic|256,pca,logistic,256.0,0.0,0.8859999999999999,0.0035355339059327017,0.8859999999999999,0.0
pca|logistic|256,pca,logistic,256.0,0.1,0.88575,0.003181980515339545,0.8859999999999999,0.00024999999999986144
pca|logistic|256,pca,logistic,256.0,0.2,0.88,0.0014142135623730963,0.8859999999999999,0.005999999999999894
pca|logistic|256,pca,logistic,256.0,0.3,0.85225,0.0003535533905932741,0.8859999999999999,0.03374999999999995
pca|logistic|256,pca,logistic,256.0,0.4,0.786,0.0014142135623730963,0.8859999999999999,0.09999999999999987
pca|logistic|32,pca,logistic,32.0,0.0,0.877,0.005656854249492385,0.877,0.0
pca|logistic|32,pca,logistic,32.0,0.1,0.87575,0.005303300858899111,0.877,0.0012499999999999734
pca|logistic|32,pca,logistic,32.0,0.2,0.8685,0.007071067811865481,0.877,0.008499999999999952
pca|logistic|32,pca,logistic,32.0,0.3,0.83925,0.006717514421272207,0.877,0.03774999999999995
pca|logistic|32,pca,logistic,32.0,0.4,0.78025,0.006717514421272247,0.877,0.09675
pca|logistic|512,pca,logistic,512.0,0.0,0.8865000000000001,0.0021213203435596836,0.8865000000000001,0.0
pca|logistic|512,pca,logistic,512.0,0.1,0.8867499999999999,0.0045961940777125634,0.8865000000000001,-0.00024999999999986144
