config_key,preprocess,model,pca_dim,noise_sigma,mean_test_accuracy,std_test_accuracy
pca|linear_svm|512,pca,linear_svm,512.0,0.4,0.7717499999999999,0.010960155108391496
pca|linear_svm|64,pca,linear_svm,64.0,0.0,0.881,0.007071067811865481
pca|linear_svm|64,pca,linear_svm,64.0,0.1,0.87575,0.008838834764831813
pca|linear_svm|64,pca,linear_svm,64.0,0.2,0.8595,0.007071067811865481
pca|linear_svm|64,pca,linear_svm,64.0,0.3,0.825,0.012727922061357866
pca|linear_svm|64,pca,linear_svm,64.0,0.4,0.74725,0.018738329701443488
pca|logistic|128,pca,logistic,128.0,0.0,0.88725,0.00530330085889915
pca|logistic|128,pca,logistic,128.0,0.1,0.88575,0.008131727983645304
pca|logistic|128,pca,logistic,128.0,0.2,0.8795,0.0028284271247461927
pca|logistic|128,pca,logistic,128.0,0.3,0.8545,0.009192388155425165
pca|logistic|128,pca,logistic,128.0,0.4,0.7889999999999999,0.002121320343559605
pca|logistic|16,pca,logistic,16.0,0.0,0.84125,0.012374368670764592
pca|logistic|16,pca,logistic,16.0,0.1,0.843,0.01202081528017128
pca|logistic|16,pca,logistic,16.0,0.2,0.8342499999999999,0.0045961940777125634
pca|logistic|16,pca,logistic,16.0,0.3,0.8007500000000001,0.010253048327205026
pca|logistic|16,pca,logistic,16.0,0.4,0.74175,0.007424621202458717
pca|logistic|256,pca,logistic,256.0,0.0,0.8859999999999999,0.0035355339059327017
pca|logistic|256,pca,logistic,256.0,0.1,0.88575,0.003181980515339545
pca|logistic|256,pca,logistic,256.0,0.2,0.88,0.0014142135623730963
pca|logistic|256,pca,logistic,256.0,0.3,0.85225,0.0003535533905932741
pca|logistic|256,pca,logistic,256.0,0.4,0.786,0.0014142135623730963
pca|logistic|32,pca,logistic,32.0,0.0,0.877,0.005656854249492385
pca|logistic|32,pca,logistic,32.0,0.1,0.87575,0.005303300858899111
pca|logistic|32,pca,logistic,32.0,0.2,0.8685,0.007071067811865481
pca|logistic|32,pca,logistic,32.0,0.3,0.83925,0.006717514421272207
pca|logistic|32,pca,logistic,32.0,0.4,0.78025,0.006717514421272247
pca|logistic|512,pca,logistic,512.0,0.0,0.8865000000000001,0.0021213203435596836
pca|logistic|512,pca,logistic,512.0,0.1,0.8867499999999999,0.0045961940777125634
pca|logistic|512,pca,logistic,512.0,0.2,0.878,0.0014142135623730963
pca|logistic|512,pca,logistic,512.0,0.3,0.85,0.0014142135623730963
pca|logistic|512,pca,logistic,512.0,0.4,0.7847500000000001,0.0017677669529664489
pca|logistic|64,pca,logistic,64.0,0.0,0.8895,0.006363961030678894
pca|logistic|64,pca,logistic,64.0,0.1,0.88575,0.006717514421272207
pca|logistic|64,pca,logistic,64.0,0.2,0.87525,0.00035355339059323483
pca|logistic|64,pca,logistic,64.0,0.3,0.85225,0.0017677669529663704
pca|logistic|64,pca,logistic,64.0,0.4,0.7949999999999999,0.006363961030678894
raw|knn|none,raw,knn,,0.0,0.9219999999999999,0.004949747468305798
raw|knn|none,raw,knn,,0.1,0.9197500000000001,0.006717514421272207
raw|knn|none,raw,knn,,0.2,0.92225,0.008131727983645342
raw|knn|none,raw,knn,,0.3,0.9099999999999999,0.0007071067811865089
raw|knn|none,raw,knn,,0.4,0.9117500000000001,0.008131727983645304
raw|linear_svm|none,raw,linear_svm,,0.0,0.8865,0.004242640687119289
raw|linear_svm|none,raw,linear_svm,,0.1,0.8855,0.004949747468305798
raw|linear_svm|none,raw,linear_svm,,0.2,0.878,0.004949747468305759
raw|linear_svm|none,raw,linear_svm,,0.3,0.8540000000000001,0.004949747468305877
